dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std,time_mean_s
Breast Cancer,Logistic Regression,0.9736686849868033,0.016627222216787987,0.9734180089264359,0.016957063874401865,0.0052889823913574215
Breast Cancer,Random Forest,0.9543238627542306,0.010166395463998739,0.9541952413708256,0.010336806235018658,0.6952245712280274
Breast Cancer,XGBoost,0.9630957925787922,0.008582913674058454,0.962936292775192,0.0087953202905243,0.135975980758667
Breast Cancer,TabPFN,0.9771619313771154,0.008927576724706666,0.9770933736007452,0.009018988873211628,2.98386173248291
Wine,Logistic Regression,0.9833333333333332,0.013608276348795441,0.983341708891215,0.013602218180392983,0.007071304321289063
Wine,Random Forest,0.9774603174603176,0.021299434518521104,0.9775191064079953,0.02128509362924096,0.4505932331085205
Wine,XGBoost,0.9606349206349206,0.02908099392402141,0.9604363269956963,0.029479342003961222,0.06076536178588867
Wine,TabPFN,0.9831746031746033,0.013740935306558193,0.9831620498671114,0.01375107527827941,1.1173462867736816
